,Actual Prices,Predicted Prices
0,221900.0,353384.5481984842
1,538000.0,533303.4944444444
2,180000.0,258734.49283916515
3,604000.0,429511.0
4,510000.0,526885.101010101
5,1230000.0,1702750.0
6,257500.0,307334.0841269841
7,291850.0,294069.9891934046
8,229500.0,316703.4424603175
9,323000.0,352996.0665602412
10,662500.0,935232.0660238097
11,468000.0,367721.817642322
12,310000.0,437606.75849026476
13,400000.0,390804.6184513886
14,530000.0,458090.39939501934
15,650000.0,721915.92
16,395000.0,492084.20854978345
17,485000.0,416191.8421423472
18,189000.0,298494.0618619744
19,230000.0,330659.4583965894
20,385000.0,459337.0555053018
21,2000000.0,1561813.1601190479
22,285000.0,500156.32956418575
23,252700.0,267265.44761904766
24,329000.0,475930.0855699857
25,233000.0,279670.3333333333
26,937000.0,821354.3273809525
27,667000.0,500272.7976190475
28,438000.0,431027.80330274726
29,719000.0,564088.5712512078
30,580500.0,531172.2830704885
31,280000.0,334676.5778562075
32,687500.0,595550.5577963704
33,535000.0,454777.7142857142
34,322500.0,354692.9869125318
35,696000.0,549223.7212775308
36,550000.0,477679.5525
37,640000.0,563986.938811189
38,240000.0,420281.98859230406
39,605000.0,648585.4347129513
40,625000.0,678632.1256215491
41,775000.0,827815.0
42,861990.0,873805.25
43,685000.0,415360.27230741474
44,309000.0,243891.1192684702
45,488000.0,547561.3119047618
46,210490.0,293535.88738511206
47,785000.0,614959.0957792208
48,450000.0,372059.9781040683
49,1350000.0,1153718.7343408812
50,228000.0,354269.61098188505
51,345000.0,511550.0822619048
52,600000.0,423776.9057180523
53,585000.0,436653.243566373
54,920000.0,641425.904761905
55,885000.0,675605.5904364866
56,292500.0,374906.65671469056
57,301000.0,471154.66449108475
58,951000.0,891013.39
59,430000.0,440473.0
60,650000.0,527967.869047619
61,289000.0,340828.87742973963
62,505000.0,529021.8166666667
63,549000.0,484684.45272366516
64,425000.0,354880.7356802919
65,317625.0,338176.8184523809
66,975000.0,1020841.6612554113
67,287000.0,438143.8523716911
68,204000.0,349311.21115302935
69,1330000.0,1105037.793690476
70,1040000.0,1206100.0
71,325000.0,326714.10092685086
72,571000.0,666459.380952381
73,360000.0,480813.41676313267
74,349000.0,387368.2761580782
75,832500.0,928094.5
76,380000.0,477773.49605258525
77,480000.0,375488.2998581718
78,410000.0,387255.3005434629
79,720000.0,836579.7857142858
80,390000.0,541364.8559141806
81,360000.0,419047.3764109175
82,355000.0,464995.6111249861
83,356000.0,487199.0
84,315000.0,275728.6680946022
85,940000.0,768778.0
86,305000.0,489742.32738095237
87,461000.0,507420.0
88,215000.0,297092.19162455195
89,335000.0,339159.94761904754
90,243500.0,399589.4265932398
91,1100000.0,993023.7833333333
92,153000.0,298494.0618619744
93,430000.0,537354.6268037519
94,700000.0,537354.6268037519
95,905000.0,757960.0
96,247500.0,430154.1472535874
97,199000.0,288009.21655013756
98,314000.0,396277.2732849499
99,437500.0,618258.7941919195
100,850830.0,868691.2694841268
101,555000.0,478380.56668331666
102,699950.0,605665.5880678148
103,1090000.0,1046414.9329004328
104,290000.0,348138.7919481381
105,375000.0,481739.05568257056
106,460000.0,473777.5674603172
107,188500.0,229417.70799999998
108,680000.0,797777.9935064935
109,470000.0,436667.938131313
110,597750.0,504077.72177568794
111,570000.0,369721.0652958153
112,272500.0,410215.2233534202
113,329950.0,458210.76225538435
114,480000.0,723073.9169996672
